station,valid,metar
ALO,2019-08-01 01:54,KALO 010154Z AUTO 08005KT 10SM CLR 21/17 A3013 RMK AO2 SLP200 T02060167
ALO,2019-08-01 01:55,KALO 010155Z AUTO 08004KT 10SM CLR 21/17 A3012 RMK T02100170 MADISHF
ALO,2019-08-01 02:00,KALO 010200Z AUTO 08005KT 10SM CLR 21/17 A3012 RMK T02100170 MADISHF
ALO,2019-08-01 02:05,KALO 010205Z AUTO 08005KT 10SM CLR 20/16 A3012 RMK T02000160 MADISHF
ALO,2019-08-01 02:10,KALO 010210Z AUTO 08005KT 10SM CLR 20/16 A3012 RMK T02000160 MADISHF
ALO,2019-08-01 02:15,KALO 010215Z AUTO 08005KT 10SM CLR 20/16 A3012 RMK T02000160 MADISHF
ALO,2019-08-01 02:20,KALO 010220Z AUTO 08005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:25,KALO 010225Z AUTO 08005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:30,KALO 010230Z AUTO 08005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:35,KALO 010235Z AUTO 09005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:40,KALO 010240Z AUTO 09005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:45,KALO 010245Z AUTO 09005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:50,KALO 010250Z AUTO 10005KT 10SM CLR 19/16 A3012 RMK T01900160 MADISHF
ALO,2019-08-01 02:54,KALO 010254Z AUTO 10005KT 10SM CLR 20/16 A3014 RMK AO2 SLP202 T02000156 51002
ALO,2019-08-01 02:55,KALO 010255Z AUTO 10005KT 10SM CLR 20/16 A3013 RMK T02000160 MADISHF
ALO,2019-08-01 03:00,KALO 010300Z AUTO 10005KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:05,KALO 010305Z AUTO 10004KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:10,KALO 010310Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:15,KALO 010315Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:20,KALO 010320Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:25,KALO 010325Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:30,KALO 010330Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:35,KALO 010335Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:40,KALO 010340Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:45,KALO 010345Z AUTO 00000KT 10SM CLR 19/16 A3013 RMK T01900160 MADISHF
ALO,2019-08-01 03:50,KALO 010350Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 03:54,KALO 010354Z AUTO 00000KT 10SM CLR 18/15 A3014 RMK AO2 SLP203 T01830150
ALO,2019-08-01 03:55,KALO 010355Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:00,KALO 010400Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:05,KALO 010405Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:10,KALO 010410Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:15,KALO 010415Z AUTO 00000KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:20,KALO 010420Z AUTO 11002KT 10SM CLR 18/15 A3012 RMK T01800150 MADISHF
ALO,2019-08-01 04:25,KALO 010425Z AUTO 11002KT 10SM CLR 18/15 A3012 RMK T01800150 MADISHF
ALO,2019-08-01 04:30,KALO 010430Z AUTO 10002KT 10SM CLR 18/15 A3013 RMK T01800150 MADISHF
ALO,2019-08-01 04:35,KALO 010435Z AUTO 11002KT 10SM CLR 18/14 A3012 RMK T01800140 MADISHF
ALO,2019-08-01 04:40,KALO 010440Z AUTO 11002KT 10SM CLR 17/14 A3012 RMK T01700140 MADISHF
ALO,2019-08-01 04:45,KALO 010445Z AUTO 12002KT 10SM CLR 18/14 A3013 RMK T01800140 MADISHF
ALO,2019-08-01 04:50,KALO 010450Z AUTO 10002KT 10SM CLR 18/14 A3013 RMK T01800140 MADISHF
ALO,2019-08-01 04:54,KALO 010454Z AUTO 09003KT 10SM CLR 18/14 A3014 RMK AO2 SLP202 T01780144
ALO,2019-08-01 04:55,KALO 010455Z AUTO 09002KT 10SM CLR 18/14 A3013 RMK T01800140 MADISHF
ALO,2019-08-01 05:00,KALO 010500Z AUTO 09002KT 10SM CLR 18/14 A3013 RMK T01800140 MADISHF
ALO,2019-08-01 05:05,KALO 010505Z AUTO 08002KT 10SM CLR 17/14 A3013 RMK T01700140 MADISHF
ALO,2019-08-01 05:10,KALO 010510Z AUTO 06002KT 10SM CLR 17/14 A3013 RMK T01700140 MADISHF
ALO,2019-08-01 05:15,KALO 010515Z AUTO 00000KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:20,KALO 010520Z AUTO 00000KT 10SM CLR 18/14 A3014 RMK T01800140 MADISHF
ALO,2019-08-01 05:25,KALO 010525Z AUTO 07002KT 10SM CLR 18/14 A3014 RMK T01800140 MADISHF
ALO,2019-08-01 05:30,KALO 010530Z AUTO 07002KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:35,KALO 010535Z AUTO 08002KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:40,KALO 010540Z AUTO 07002KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:45,KALO 010545Z AUTO 07002KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:50,KALO 010550Z AUTO 00000KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 05:54,KALO 010554Z AUTO 00000KT 10SM CLR 17/14 A3015 RMK AO2 SLP206 T01720144 10256 20167 402720117 53005
ALO,2019-08-01 05:55,KALO 010555Z AUTO 00000KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 06:00,KALO 010600Z AUTO 05004KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 06:05,KALO 010605Z AUTO 00000KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 06:10,KALO 010610Z AUTO 07002KT 10SM CLR 17/14 A3015 RMK T01700140 MADISHF
ALO,2019-08-01 06:15,KALO 010615Z AUTO 08002KT 10SM CLR 17/14 A3014 RMK T01700140 MADISHF
ALO,2019-08-01 06:20,KALO 010620Z AUTO 07002KT 10SM CLR 17/14 A3015 RMK T01700140 MADISHF
ALO,2019-08-01 06:25,KALO 010625Z AUTO 08004KT 10SM CLR 17/14 A3015 RMK T01700140 MADISHF
ALO,2019-08-01 06:30,KALO 010630Z AUTO 07005KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 06:35,KALO 010635Z AUTO 07005KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 06:40,KALO 010640Z AUTO 08004KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 06:45,KALO 010645Z AUTO 07004KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 06:50,KALO 010650Z AUTO 07004KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 06:54,KALO 010654Z AUTO 08003KT 10SM CLR 16/14 A3016 RMK AO2 SLP209 T01610139
ALO,2019-08-01 06:55,KALO 010655Z AUTO 07002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:00,KALO 010700Z AUTO 07002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:05,KALO 010705Z AUTO 06004KT 10SM CLR 16/13 A3015 RMK T01600130 MADISHF
ALO,2019-08-01 07:10,KALO 010710Z AUTO 07004KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:15,KALO 010715Z AUTO 07004KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:20,KALO 010720Z AUTO 07002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:25,KALO 010725Z AUTO 07002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:30,KALO 010730Z AUTO 07002KT 10SM CLR 16/14 A3014 RMK T01600140 MADISHF
ALO,2019-08-01 07:35,KALO 010735Z AUTO 06002KT 10SM CLR 16/14 A3014 RMK T01600140 MADISHF
ALO,2019-08-01 07:40,KALO 010740Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:45,KALO 010745Z AUTO 05002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:50,KALO 010750Z AUTO 03002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 07:54,KALO 010754Z AUTO 03003KT 10SM CLR 16/14 A3016 RMK AO2 SLP209 T01610139
ALO,2019-08-01 07:55,KALO 010755Z AUTO 03002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:00,KALO 010800Z AUTO 03002KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:05,KALO 010805Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:10,KALO 010810Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:15,KALO 010815Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:20,KALO 010820Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:25,KALO 010825Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:30,KALO 010830Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:35,KALO 010835Z AUTO 00000KT 10SM CLR 16/14 A3015 RMK T01600140 MADISHF
ALO,2019-08-01 08:40,KALO 010840Z AUTO 00000KT 10SM CLR 16/13 A3015 RMK T01600130 MADISHF
ALO,2019-08-01 08:45,KALO 010845Z AUTO 00000KT 10SM CLR 16/13 A3015 RMK T01600130 MADISHF
ALO,2019-08-01 08:50,KALO 010850Z AUTO 00000KT 10SM CLR 16/13 A3015 RMK T01600130 MADISHF
ALO,2019-08-01 08:54,KALO 010854Z AUTO 00000KT 10SM CLR 16/13 A3016 RMK AO2 SLP209 T01560133 50002
ALO,2019-08-01 08:55,KALO 010855Z AUTO 00000KT 10SM CLR 16/13 A3015 RMK T01600130 MADISHF
ALO,2019-08-01 09:00,KALO 010900Z AUTO 05002KT 10SM CLR 15/13 A3014 RMK T01500130 MADISHF
ALO,2019-08-01 09:05,KALO 010905Z AUTO 06004KT 10SM CLR 14/13 A3014 RMK T01400130 MADISHF
ALO,2019-08-01 09:10,KALO 010910Z AUTO 06002KT 10SM CLR 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:15,KALO 010915Z AUTO 06002KT 10SM CLR 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:20,KALO 010920Z AUTO 06004KT 10SM CLR 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:25,KALO 010925Z AUTO 06004KT 10SM CLR 14/13 A3014 RMK T01400130 MADISHF
ALO,2019-08-01 09:30,KALO 010930Z AUTO 07002KT 10SM CLR 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:35,KALO 010935Z AUTO 07002KT 10SM FEW100 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:40,KALO 010940Z AUTO 07002KT 10SM SCT100 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:45,KALO 010945Z AUTO 05004KT 10SM BKN100 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 09:50,KALO 010950Z AUTO 04004KT 10SM BKN100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 09:54,KALO 010954Z AUTO 05005KT 10SM BKN100 15/13 A3017 RMK AO2 SLP213 T01500133
ALO,2019-08-01 09:55,KALO 010955Z AUTO 05005KT 10SM BKN100 15/13 A3017 RMK T01500130 MADISHF
ALO,2019-08-01 10:00,KALO 011000Z AUTO 06005KT 10SM OVC100 15/13 A3017 RMK T01500130 MADISHF
ALO,2019-08-01 10:05,KALO 011005Z AUTO 06004KT 10SM OVC100 15/13 A3017 RMK T01500130 MADISHF
ALO,2019-08-01 10:10,KALO 011010Z AUTO 06002KT 10SM BKN100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:15,KALO 011015Z AUTO 06004KT 10SM OVC100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:20,KALO 011020Z AUTO 06005KT 10SM BKN100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:25,KALO 011025Z AUTO 07004KT 10SM BKN100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:30,KALO 011030Z AUTO 07004KT 10SM SCT100 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 10:35,KALO 011035Z AUTO 08002KT 10SM FEW100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:40,KALO 011040Z AUTO 08002KT 10SM FEW100 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 10:45,KALO 011045Z AUTO 08004KT 10SM CLR 14/13 A3015 RMK T01400130 MADISHF
ALO,2019-08-01 10:50,KALO 011050Z AUTO 08005KT 10SM CLR 14/12 A3015 RMK T01400120 MADISHF
ALO,2019-08-01 10:54,KALO 011054Z 08004KT 10SM CLR 14/12 A3017 RMK AO2 SLP212 T01390122
ALO,2019-08-01 10:55,KALO 011055Z AUTO 08002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:00,KALO 011100Z AUTO 10002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:05,KALO 011105Z AUTO 09002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:10,KALO 011110Z AUTO 10002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:15,KALO 011115Z AUTO 10002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:20,KALO 011120Z AUTO 12002KT 10SM CLR 14/13 A3017 RMK T01400130 MADISHF
ALO,2019-08-01 11:25,KALO 011125Z AUTO 00000KT 10SM CLR 15/13 A3017 RMK T01500130 MADISHF
ALO,2019-08-01 11:30,KALO 011130Z AUTO 00000KT 10SM CLR 15/13 A3017 RMK T01500130 MADISHF
ALO,2019-08-01 11:35,KALO 011135Z AUTO 11002KT 10SM CLR 16/13 A3018 RMK T01600130 MADISHF
ALO,2019-08-01 11:40,KALO 011140Z AUTO 00000KT 10SM CLR 16/13 A3018 RMK T01600130 MADISHF
ALO,2019-08-01 11:45,KALO 011145Z AUTO 00000KT 10SM CLR 16/13 A3018 RMK T01600130 MADISHF
ALO,2019-08-01 11:50,KALO 011150Z AUTO 00000KT 10SM CLR 16/14 A3019 RMK T01600140 MADISHF
ALO,2019-08-01 11:54,KALO 011154Z 00000KT 10SM CLR 17/14 A3019 RMK AO2 SLP220 T01670139 10172 20139 53010
ALO,2019-08-01 11:55,KALO 011155Z AUTO 00000KT 10SM CLR 17/14 A3019 RMK T01700140 MADISHF
ALO,2019-08-01 12:00,KALO 011200Z AUTO 00000KT 10SM CLR 17/14 A3019 RMK T01700140 MADISHF
ALO,2019-08-01 12:05,KALO 011205Z AUTO 00000KT 10SM CLR 17/14 A3019 RMK T01700140 MADISHF
ALO,2019-08-01 12:10,KALO 011210Z AUTO 00000KT 10SM CLR 17/14 A3019 RMK T01700140 MADISHF
ALO,2019-08-01 12:15,KALO 011215Z AUTO 00000KT 10SM CLR 18/14 A3020 RMK T01800140 MADISHF
ALO,2019-08-01 12:20,KALO 011220Z AUTO 00000KT 10SM CLR 18/15 A3020 RMK T01800150 MADISHF
ALO,2019-08-01 12:25,KALO 011225Z AUTO 10002KT 10SM CLR 18/15 A3020 RMK T01800150 MADISHF
ALO,2019-08-01 12:30,KALO 011230Z AUTO 00000KT 10SM CLR 18/15 A3020 RMK T01800150 MADISHF
ALO,2019-08-01 12:35,KALO 011235Z AUTO 00000KT 10SM CLR 18/15 A3020 RMK T01800150 MADISHF
ALO,2019-08-01 12:40,KALO 011240Z AUTO 00000KT 10SM CLR 19/16 A3020 RMK T01900160 MADISHF
ALO,2019-08-01 12:45,KALO 011245Z AUTO 16002KT 10SM CLR 19/16 A3020 RMK T01900160 MADISHF
ALO,2019-08-01 12:50,KALO 011250Z AUTO 16004KT 10SM CLR 19/15 A3020 RMK T01900150 MADISHF
ALO,2019-08-01 12:54,KALO 011254Z 16003KT 10SM CLR 20/16 A3020 RMK AO2 SLP223 T02000156
ALO,2019-08-01 12:55,KALO 011255Z AUTO 16004KT 10SM CLR 20/16 A3020 RMK T02000160 MADISHF
ALO,2019-08-01 13:00,KALO 011300Z AUTO 16004KT 10SM CLR 20/16 A3020 RMK T02000160 MADISHF
ALO,2019-08-01 13:05,KALO 011305Z AUTO 16005KT 10SM CLR 21/15 A3020 RMK T02100150 MADISHF
ALO,2019-08-01 13:10,KALO 011310Z AUTO 17005KT 10SM CLR 21/16 A3020 RMK T02100160 MADISHF
ALO,2019-08-01 13:15,KALO 011315Z AUTO 15005KT 10SM CLR 21/15 A3020 RMK T02100150 MADISHF
ALO,2019-08-01 13:20,KALO 011320Z AUTO 16007KT 10SM CLR 21/15 A3020 RMK T02100150 MADISHF
ALO,2019-08-01 13:25,KALO 011325Z AUTO 17005KT 10SM CLR 21/14 A3020 RMK T02100140 MADISHF
ALO,2019-08-01 13:30,KALO 011330Z AUTO 16004KT 10SM CLR 22/15 A3020 RMK T02200150 MADISHF
ALO,2019-08-01 13:35,KALO 011335Z AUTO 16005KT 10SM CLR 22/15 A3020 RMK T02200150 MADISHF
ALO,2019-08-01 13:40,KALO 011340Z AUTO 16005KT 10SM CLR 22/15 A3020 RMK T02200150 MADISHF
ALO,2019-08-01 13:45,KALO 011345Z AUTO 16007KT 10SM CLR 22/15 A3020 RMK T02200150 MADISHF
ALO,2019-08-01 13:50,KALO 011350Z AUTO 16005KT 10SM CLR 23/14 A3020 RMK T02300140 MADISHF
ALO,2019-08-01 13:54,KALO 011354Z 18007KT 10SM CLR 23/14 A3020 RMK AO2 SLP222 T02280144
ALO,2019-08-01 13:55,KALO 011355Z AUTO 19005KT 10SM CLR 23/14 A3020 RMK T02300140 MADISHF
ALO,2019-08-01 14:00,KALO 011400Z AUTO 18005KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:05,KALO 011405Z AUTO 20005KT 10SM CLR 23/14 A3020 RMK T02300140 MADISHF
ALO,2019-08-01 14:10,KALO 011410Z AUTO 17004KT 10SM CLR 23/15 A3020 RMK T02300150 VRB04KT  MADISHF
ALO,2019-08-01 14:15,KALO 011415Z AUTO 13007KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:20,KALO 011420Z AUTO 13007KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:25,KALO 011425Z AUTO 15005KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:30,KALO 011430Z AUTO 14005KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:35,KALO 011435Z AUTO 15005KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:40,KALO 011440Z AUTO 12005KT 10SM CLR 24/15 A3020 RMK T02400150 VRB06KT  MADISHF
ALO,2019-08-01 14:45,KALO 011445Z AUTO 13004KT 10SM CLR 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:50,KALO 011450Z AUTO 13005KT 10SM FEW120 23/15 A3020 RMK T02300150 MADISHF
ALO,2019-08-01 14:54,KALO 011454Z 14006KT 10SM SCT120 24/15 A3021 RMK AO2 SLP225 T02390150 51006
ALO,2019-08-01 14:55,KALO 011455Z AUTO 14005KT 10SM SCT120 24/15 A3020 RMK T02400150 MADISHF
ALO,2019-08-01 15:00,KALO 011500Z AUTO 14005KT 10SM BKN120 24/15 A3020 RMK T02400150 MADISHF
ALO,2019-08-01 15:05,KALO 011505Z AUTO 15002KT 10SM BKN120 24/15 A3020 RMK T02400150 VRB03KT  MADISHF
ALO,2019-08-01 15:10,KALO 011510Z AUTO 17004KT 10SM BKN120 24/16 A3020 RMK T02400160 VRB04KT  MADISHF
ALO,2019-08-01 15:15,KALO 011515Z AUTO 18004KT 10SM BKN120 25/16 A3020 RMK T02500160 VRB04KT  MADISHF
ALO,2019-08-01 15:20,KALO 011520Z AUTO 19005KT 10SM BKN120 25/15 A3020 RMK T02500150 MADISHF
ALO,2019-08-01 15:25,KALO 011525Z AUTO 19005KT 10SM BKN120 25/15 A3020 RMK T02500150 MADISHF
ALO,2019-08-01 15:30,KALO 011530Z AUTO 18004KT 10SM BKN120 24/15 A3020 RMK T02400150 VRB04KT  MADISHF
ALO,2019-08-01 15:35,KALO 011535Z AUTO 25004KT 10SM SCT120 25/16 A3020 RMK T02500160 VRB04KT  MADISHF
ALO,2019-08-01 15:40,KALO 011540Z AUTO 23005KT 10SM FEW120 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 15:45,KALO 011545Z AUTO 18002KT 10SM FEW120 25/16 A3020 RMK T02500160 MADISHF
ALO,2019-08-01 15:50,KALO 011550Z AUTO /////KT 10SM FEW120 25/15 A3020 RMK T02500150 MADISHF
ALO,2019-08-01 15:54,KALO 011554Z 19005KT 10SM FEW120 25/16 A3021 RMK AO2 SLP225 T02500156
ALO,2019-08-01 15:55,KALO 011555Z AUTO 18005KT 10SM FEW120 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:00,KALO 011600Z AUTO 21004KT 10SM CLR 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:05,KALO 011605Z AUTO 18004KT 10SM CLR 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:10,KALO 011610Z AUTO 15004KT 10SM CLR 26/16 A3020 RMK T02600160 VRB04KT  MADISHF
ALO,2019-08-01 16:15,KALO 011615Z AUTO 18002KT 10SM CLR 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:20,KALO 011620Z AUTO 00000KT 10SM CLR 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:25,KALO 011625Z AUTO 13004KT 10SM CLR 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 16:30,KALO 011630Z AUTO 05004KT 10SM CLR 26/16 A3020 RMK T02600160 VRB04KT  MADISHF
ALO,2019-08-01 16:35,KALO 011635Z AUTO 00000KT 10SM CLR 27/15 A3020 RMK T02700150 MADISHF
ALO,2019-08-01 16:40,KALO 011640Z AUTO 08005KT 10SM CLR 27/16 A3020 RMK T02700160 MADISHF
ALO,2019-08-01 16:45,KALO 011645Z AUTO 00000KT 10SM CLR 26/15 A3020 RMK T02600150 MADISHF
ALO,2019-08-01 16:50,KALO 011650Z AUTO 15004KT 10SM FEW039 27/16 A3020 RMK T02700160 MADISHF
ALO,2019-08-01 16:54,KALO 011654Z VRB03KT 10SM FEW039 26/16 A3020 RMK AO2 SLP224 T02610156
ALO,2019-08-01 16:55,KALO 011655Z AUTO 00000KT 10SM FEW039 26/16 A3020 RMK T02600160 MADISHF
ALO,2019-08-01 17:00,KALO 011700Z AUTO 31002KT 10SM CLR 27/16 A3020 RMK T02700160 VRB03KT  MADISHF
ALO,2019-08-01 17:05,KALO 011705Z AUTO 00000KT 10SM FEW039 27/15 A3020 RMK T02700150 MADISHF
